Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,,INR
Skoda,Enyaq iV vRS,6.2,180,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,,4286875
Skoda,Enyaq iV 60,9,160,320,58,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,,3384375
Audi,e-tron S 55 quattro,4.5,210,320,86.5,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,,8465450
Smart,EQ fortwo cabrio,11.9,130,95,16.7,176,200,No,RWD,Type 2,Cabrio,A,2,,2216991.25
Kia,e-Soul 64 kWh,7.9,167,365,87,175,320,No,FWD,Type 2 CCS,SUV,B,5,,3324539.25
Nissan,Ariya e-4ORCE 87kWh,5.7,200,420,23.8,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,,5189375
Fiat,500e Convertible,9,150,250,58,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,,3420475
Volkswagen,ID.3 Pro Performance,7.3,160,340,39,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,,3210643.75
Kia,e-Soul 39 kWh,9.9,157,230,72,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,,2990253.25
Byton,M-Byte 72 kWh 2WD,7.5,190,325,63,222,420,No,RWD,Type 2 CCS,SUV,E,5,,4828375
Nissan,Ariya 63kWh,7.5,160,330,86.5,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,,4061250
Audi,e-tron S Sportback 55 quattro,4.5,210,335,63,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,,8668512.5
Nissan,Ariya e-4ORCE 63kWh,5.9,200,325,87,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,,4512500
Nissan,Ariya e-4ORCE 87kWh Performance,5.1,200,375,95,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,,5866250
Byton,M-Byte 95 kWh 2WD,7.5,190,400,,238,480,No,AWD,Type 2 CCS,SUV,E,5,,5595500
