mobile_price,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight
12999,15.21,2332800,7,8,1.8,64,4,4000,75.35,158.58,8.05,181
9999,16,2527200,9,8,2.2,32,3,4000,75.21,159.21,8.1,186
8499,15.21,1036800,8,8,2,64,4,3080,77.26,160.73,8.1,168
6699,13.84,1036800,9,8,2,32,2,4000,70.4,146.3,9.55,165
11999,16,2527200,9,8,2.2,64,4,4000,75.21,159.21,8.1,186
7999,15.21,1036800,8,8,2,32,3,3080,77.26,160.73,8.1,168
8499,15.21,1036800,8,8,2,64,4,3080,77.26,160.73,8.1,168
9999,16,2527200,9,8,2.2,32,3,4000,75.21,159.21,8.1,186
6499,13.84,1036800,9,8,2,16,2,4000,70.4,146.3,9.55,165
7999,13.84,1036800,8,8,2,32,3,3000,71.5,147.5,8.3,146
9999,16,2527200,9,8,2.2,32,3,4000,75.21,159.21,8.1,186
11999,16,2527200,9,8,2.2,64,4,4000,75.21,159.21,8.1,186
6499,13.84,1036800,9,8,2,16,2,4000,70.4,146.3,9.55,165
13999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
12999,15.21,2332800,7,8,1.8,64,4,4000,75.35,158.58,8.05,181
8369,15.9,1094400,9,8,1.8,32,3,4000,75.58,158.73,8.47,180
8090,15.9,1094400,9,8,1.8,32,3,4000,75.58,158.73,8.47,180
9999,16,2527200,9,8,2.2,32,3,4000,75.21,159.21,8.1,186
21999,16.23,2527200,9,8,2.2,64,6,4000,74.3,156.7,8.8,191
9999,16,2527200,9,8,2.2,32,3,4000,75.21,159.21,8.1,186
55400,16.94,2527200,10,8,2.84,256,8,4780,74.8,162.58,8.96,209
13999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
16999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
12999,15.21,2332800,7,8,1.8,64,4,4000,75.35,158.58,8.05,181
13999,15.21,2332800,8,8,2.2,64,4,3010,75.4,158.7,7.3,168
17999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
13999,15.21,2332800,8,8,2.2,64,4,3010,75.4,158.7,7.3,168
6700,12.7,921600,8,4,1.4,16,1,3000,70.1,140.4,8.35,137
13999,13.97,2073600,6,8,2,64,4,4100,76,151,8.4,165
